ticker,name,legalname,sic,stockexchange,shortDescription,longDescription
SPLS,Staples Inc,STAPLES INC,5940,NasdaqGS,Staples  Inc   engages in the provision of office supplies retail   It offers a range of products of copy and print and technologies through an integrated retail and online shopping   It operates through the following segments  North American Stores and Online  North American Commercial  and International Operations   The North American Stores and Online segment includes the company's retail stores and Staples  com businesses in the U  S   and Canada   The North American Commercial segment consists of the U  S   and Canadian businesses that sell and deliver products and services directly to businesses  including Staples Advantage and Quill  com   The International Operations segment covers operations in twenty three countries in Europe  Australia  South America  and Asia   The company was founded by Thomas G   Stemberg in 1985 and is headquartered in Framingham  MA  ,Staples  Inc.  together with its subsidiaries  operates office products superstores. It operates in two segments  North American Delivery and North American Retail. The company offers a range of office supplies  business technology products  facility and breakroom supplies  computers and mobility products  and office furniture under the Staples  Quill  and other proprietary brands. It also provides print and marketing  as well as technology services. The company sells its office products and services directly to businesses and consumers through its Staples.com  Staples.ca  and Quill.com Websites; and retail stores  as well as Staples Business Advantage contracts. As of January 28  2017  it operated approximately 1 583 retail stores in 46 states and the District of Columbia in the United States  and 10 provinces and 2 territories in Canada  as well as in Argentina  Australia  and Brazil; 78 distribution and fulfillment centers in 25 states in the United States and 7 provinces in Canada  as well as in China  Argentina  Brazil  Taiwan  and Australia. The company was founded in 1985 and is based in Framingham  Massachusetts.
DHR,Danaher Corp,DANAHER CORP /DE/,3823,NYSE,Danaher Corp   operates as a medical company  which designs  manufactures  and markets healthcare  environmental  and industrial equipment   It operates through the following segments  Life Sciences  Diagnostics  Dental  and Environmental & Applied Solutions   The Life Sciences segment offers a range of research and clinical tools that scientists use to study cells and cell components in order to understand the causes of diseases; identify new therapies; and test new drugs and vaccines   The Diagnostics segment comprises of analytical instruments  reagents  consumables  software  and services that hospitals  physician's offices  reference laboratories  and other critical care settings use to diagnose disease and make treatment decisions   The Dental segment develops products that are used to diagnose  treat and prevent disease and ailments of the teeth  gums  and supporting bones; as well as provide dental consumables  equipment  and services   The Environmental & Applied Solution segment engages in the development and manufacture of equipment  consumables  and software for various printing  marking  coding  design  and color management applications on consumer and industrial products   The company was founded by Steven M   Rales and Mitchell P   Rales in 1969 and is headquartered in Washington  DC  ,Danaher Corporation designs  manufactures  and markets professional  medical  industrial  and commercial products and services worldwide. The company's Life Sciences segment provides laser scanning  compound  and surgical and other stereo microscopes. This segment also offers filtration  separation  and purification technologies to the biopharmaceutical  food and beverage  medical  aerospace  microelectronics  and general industrial sectors. Its Diagnostics segment provides chemistry  immunoassay  microbiology  and automation systems  as well as hematology and flow cytometry products. The company offers analytical instruments  reagents  consumables  software  and services for hospitals  physicians' offices  reference laboratories  and other critical care settings. Its Dental segment provides consumables  equipment  and services to diagnose  treat  and prevent disease and ailments of the teeth  gums  and supporting bone. The company's products comprise implant systems  dental prosthetics  and associated treatment planning software; orthodontic bracket systems and lab products; endodontic systems and related consumables; restorative materials and instruments; infection prevention products; digital imaging systems and software; air and electric powered handpieces  and consumables; and treatment units. Its Environmental & Applied Solutions segment offers instrumentation  services  and disinfection systems to analyze  treat  and manage water in residential  commercial  industrial  and natural resource applications. This segment also provides equipment  consumables  software  and services for various printing  marking  coding  traceability  packaging  design  and color management applications on consumer  pharmaceutical  and industrial products. The company was formerly known as Diversified Mortgage Investors  Inc. and changed its name to Danaher Corporation in 1984. Danaher Corporation was founded in 1969 and is headquartered in Washington  the District of Columbia.
WHR,Whirlpool Corp,WHIRLPOOL CORP /DE/,3630,NYSE,Whirlpool Corp   engages in the manufacturing and marketing home appliances   Its products include home laundry appliances  home refrigerators and freezers  home cooking appliances  home dishwashers  and room air-conditioning equipment  mixers  and portable household appliances   Its brands include Whirlpool  Brastemp  Indesit  Maytag  KitchenAid  Jenn-Air  Amana  Bauknecht  Brastemp  and Consul   The company was founded by Emory Upton  Fred Upton  and Louis C   Upton and was founded in 1955 and is headquartered in Benton Harbor  MI  ,Whirlpool Corporation manufactures and markets home appliances and related products worldwide. The company's principal products include laundry appliances  refrigerators and freezers  cooking appliances  dishwashers  mixers  and other small domestic appliances. It also produces hermetic compressors for refrigeration systems. The company markets and distributes its products under the Whirlpool  Maytag  KitchenAid  Jenn-Air  Amana  Roper  Admiral  Inglis  Estate  Affresh  Acros  Supermatic  Bauknecht  Laden  Indesit  Privileg  KIC  Hotpoint-Ariston  Hotpoint  Consul  Brastemp  Diqua  and Gladiator brands. Whirlpool Corporation sells its products to retailers  distributors  dealers  builders  and other manufacturers. The company was founded in 1898 and is headquartered in Benton Harbor  Michigan.
AFL,Aflac Inc,AFLAC INC,6321,NYSE,Aflac  Inc   is a general business holding company and acts as a management company  overseeing the operations of its subsidiaries by providing management services and making capital available   It operates through two segments  Aflac Japan and Aflac U  S    The Aflac Japan segment provides death benefits and cash surrender values  WAYS product  have features that allow policyholders to convert a portion of their life insurance to medical  nursing care  or fixed annuity benefits at a predetermined age and child endowment product   It also sells voluntary supplemental insurance products  including cancer plans  general medical indemnity plans  medical & sickness riders  care plans  living benefit life plans  ordinary life insurance plans and annuities   The Aflac U  S   segment sells voluntary supplemental insurance products including products designed to protect individuals from depletion of assets and loss-of-income products   The company was founded by John Amos  Daniel Paul Amos and William Amos on November 17  1955 and is headquartered in Columbus  GA  ,Aflac Incorporated  through its subsidiary  American Family Life Assurance Company of Columbus  provides supplemental health and life insurance products. It operates through two segments  Aflac Japan and Aflac U.S. The Aflac Japan segment offers various voluntary supplemental insurance products  including cancer plans  general medical indemnity plans  medical/sickness riders  care plans  living benefit life plans  ordinary life insurance plans  and annuities in Japan. The Aflac U.S. segment provides products designed to protect individuals from depletion of assets comprising accident  cancer  critical illness/care  hospital indemnity  fixed-benefit dental  and vision care plans; and loss-of-income products  such as life and short-term disability plans in the United States. The company sells its products through sales associates and brokers  independent corporate agencies  individual agencies  and affiliated corporate agencies. Aflac Incorporated was founded in 1955 and is headquartered in Columbus  Georgia.
AN,AutoNation Inc,AUTONATION  INC.,5500,NYSE,AutoNation  Inc   engages in the operation as an automobile dealer and retailer in the U  S   It offers automotive products and services  including new vehicles  used vehicles  parts and automotive services  and automotive finance and insurance products   The company operates through three segments  Domestic  Import and Premium Luxury   The Domestic segment is comprised of retail automotive franchises that sell new vehicles manufactured by General Motors  Ford  and Chrysler   The Import segment is comprised of retail automotive franchises that sell new vehicles manufactured primarily by Toyota  Honda  and Nissan   The Premium Luxury segment is comprised of retail automotive franchises that sell new vehicles manufactured primarily by Mercedes  BMW  and Lexus   It sells core brands vehicles which include Ford  Toyota  Nissan  General Motors  Honda  Mercedes-Benz  BMW  and Chrysler   The company was founded by Steven Richard Berrard and Harry Wayne Huizenga Sr   in 1991 and is headquartered in Fort Lauderdale  FL  ,AutoNation  Inc.  through its subsidiaries  operates as an automotive retailer in the United States. The company operates in three segments: Domestic  Import  and Premium Luxury. It offers a range of automotive products and services  including new and used vehicles; and parts and services  such as automotive repair and maintenance services  and wholesale parts and collision services. The company also provides automotive finance and insurance products comprising vehicle services and other protection products  and arrangement of finance for vehicle purchases through third-party finance sources. As of December 31  2016  it owned and operated 371 new vehicle franchises from 260 stores located primarily in metropolitan markets in the Sunbelt region of the United States. The company was founded in 1991 and is headquartered in Fort Lauderdale  Florida.
PGR,Progressive Corp,PROGRESSIVE CORP/OH/,6331,NYSE,Progressive Corp   is specialized in insurance products primarily related to motor vehicles   It offers insurance solutions for personal and commercial property casualty   The company operates through the following segments  Personal Lines and Commercial Lines   The Personal Lines segment writes insurance for personal autos and recreational vehicles   The Commercial Lines segment writes primary liability and physical damage insurance for automobiles and trucks owned and operated predominately by small business in the business auto  for-hire transportation  contractor  for-hire specialty  and tow market   It also involved in other indemnity business including the run-off of professional liability insurance for community banks   Progressive was founded in 1965 and is headquartered in Mayfield Village  OH  ,The Progressive Corporation  through its subsidiaries  provides personal and commercial property-casualty insurance  and other specialty property-casualty insurance and related services primarily in the United States. Its Personal Lines segment writes insurance for personal autos  and recreational and other vehicles. This segment's products include personal auto insurance; and special lines products  including insurance for motorcycles  ATVs  RVs  mobile homes  watercraft  and snowmobiles. The company's Commercial Lines segment provides primary liability  physical damage  and other auto-related insurance for autos  vans  and pick-up trucks  and dump trucks used by small businesses; tractors  trailers  and straight trucks primarily used by regional general freight and expeditor-type businesses  and non-fleet long-haul operators; dump trucks  log trucks  and garbage trucks used by dirt  sand and gravel  logging  and coal-type businesses; tow trucks and wreckers used in towing services and gas/service station businesses; and non-fleet taxis  black-car services  and airport taxis. Its Property segment provides residential property insurance for homeowners  other property owners  and renters  as well as offers personal umbrella insurance  and primary and excess flood insurance. The company also offers policy issuance and claims adjusting services; home  condominium  renters  and other insurance; and general liability and business owners policies  and workers' compensation insurance  as well as sells personal auto physical damage and auto property damage liability insurance in Australia. In addition  it offers reinsurance services. The Progressive Corporation sells its products and services through independent insurance agencies  as well as directly on Internet  and mobile devices  and over the phone. The company was founded in 1937 and is headquartered in Mayfield Village  Ohio.
ABT,Abbott Laboratories,ABBOTT LABORATORIES,2834,NYSE,Abbott Laboratories engages in the discovery  development  manufacture and sale of a broad and diversified line of health care products   It operates through the following segments  Established Pharmaceutical Products  Nutritional Products  Diagnostic Products  and Vascular Products   The Established Pharmaceutical Products segment refers to the international sales of a line of branded generic pharmaceutical products   The Nutritional Products segment caters to the worldwide sales of adult and pediatric nutritional products   The Diagnostic Products segment markets diagnostic systems and tests for blood banks  hospitals  commercial laboratories and alternate-care testing sites   The Vascular Products segment trades coronary  endovascular  structural heart  vessel closure and other medical device products   The company was founded by Wallace Calvin Abbott in 1888 and is headquartered in Abbott Park  IL  ,Abbott Laboratories manufactures and sells health care products worldwide. The company's Established Pharmaceutical Products segment offers branded generic pharmaceuticals to treat pancreatic exocrine insufficiency; irritable bowel syndrome or biliary spasm; intrahepatic cholestasis or depressive symptoms; gynecological disorders; hormone replacement therapy; dyslipidemia; hypertension; hypothyroidism; Meniere's disease and vestibular vertigo; pain  fever  and inflammation; migraines; anti-infective clarithromycin; cardiovascular and metabolic products; and influenza vaccines  as well as to regulate physiological rhythm of the colon. Its Diagnostic Products segment provides immunoassay and clinical chemistry systems; assays used to screen and/or diagnosis cancer  cardiac  drugs of abuse  fertility  infectious diseases  and therapeutic drug monitoring; hematology systems and reagents; diagnostic systems and cartridges; instruments to automate the extraction  purification  and preparation of DNA and RNA from patient samples  and detects and measures infectious agents; genomic-based tests; informatics and automation solutions; and a suite of informatics tools and professional services. The company's Nutritional Products segment provides pediatric and adult nutritional products. Its Vascular Products segment offers coronary  endovascular  vessel closure  and structural heart devices to treat vascular disease. The company also provides blood and flash glucose monitoring systems  including test strips  sensors  data management decision software  and accessories for people with diabetes; and medical devices for the eye  such as cataract and LASIK surgery  contact lens care  and dry eye products. It serves retailers  wholesalers  hospitals  health care facilities  laboratories  physicians' offices  and government agencies. The company was founded in 1888 and is headquartered in Abbott Park  Illinois.
DG,Dollar General Corp,DOLLAR GENERAL CORP,5331,NYSE,Dollar General Corp   is a discount retailer in the United States   The company offers a selection of merchandise  including consumables  seasonal  home products and apparel   It offers a focused assortment of everyday necessities  which drive frequent customer visits  and key items in a broad range of general merchandise categories   The company's consumables include paper and cleaning products  such as paper towels  bath tissue  paper dinnerware  trash and storage bags  laundry and other home cleaning supplies; packaged food  such as cereals  canned soups and vegetables  condiments  spices  sugar and flour; perishables  such as milk  eggs  bread  frozen meals  beer and wine; snacks  such as candy  cookies  crackers  salty snacks and carbonated beverages; health and beauty  including over-the-counter medicines and personal care products  such as soap  body wash  shampoo  dental hygiene and foot care products; and pet  including pet supplies and pet food   Dollar General was founded by J   L   Turner and Hurley Calister Turner Sr   in 1939 and is headquartered in Goodlettsville  TN  ,Dollar General Corporation  a discount retailer  provides various merchandise products in the southern  southwestern  midwestern  and eastern United States. The company offers consumable products  including paper and cleaning products comprising paper towels  bath tissues  paper dinnerware  trash and storage bags  and laundry and other home cleaning supplies; packaged food products  such as cereals  canned soups and vegetables  condiments  spices  sugar  and flour; perishables consisting of milk  eggs  bread  refrigerated and frozen food  beer  and wine; snacks that comprise candies  cookies  crackers  salty snacks  and carbonated beverages; health and beauty products  such as over-the-counter medicines  as well as soap  body wash  shampoo  dental hygiene  and foot care products; pet products  which include pet supplies and pet food; and tobacco products. It also provides seasonal products  including decorations  toys  batteries  small electronics  greeting cards  stationery products  prepaid phones and accessories  gardening supplies  hardware products  and automotive and home office supplies; and home products consisting of kitchen supplies  cookware  small appliances  light bulbs  storage containers  frames  candles  craft supplies and kitchen products  beds  and bath soft goods. In addition  the company offers apparel for infants  toddlers  girls  boys  women  and men  as well as socks  underwear  disposable diapers  shoes  and accessories. As of February 3  2017  it operated 13 320 stores located in 43 states. The company was formerly known as J.L. Turner & Son  Inc. and changed its name to Dollar General Corporation in 1968. Dollar General Corporation was founded in 1939 and is based in Goodlettsville  Tennessee.
THC,Tenet Healthcare Corp,TENET HEALTHCARE CORP,8062,NYSE,Tenet Healthcare Corp   provides health care services   It operates through the following segments  Hospital Operations and Other  and Conifer   The company through its subsidiaries and affiliates owns and operates acute care hospitals  ambulatory surgery centers  diagnostic imaging centers and related health care facilities   Its business is focused on providing acute care treatment  including inpatient care  intensive care  cardiac care  radiology services and emergency medical treatment  as well as outpatient services   Tenet Healthcare also operates revenue cycle management and patient communications services businesses through its Conifer Health Solutions subsidiary   The company was founded in 1975 and is headquartered in Dallas  TX  ,Tenet Healthcare Corporation  together with its subsidiaries  operates as a diversified healthcare services company. It operates in three segments: Hospital Operations and Other  Ambulatory Care  and Conifer. The company's general hospitals offer acute care services  operating and recovery rooms  radiology and respiratory therapy services  clinical laboratories  and pharmacies. It also provides intensive and critical care  and coronary care units; physical therapy  orthopedic  oncology  and outpatient services; tertiary care services  including open-heart surgery  neonatal intensive care  and neurosciences; quaternary care in heart  liver  kidney  and bone marrow transplants areas; tertiary and quaternary pediatric  and burn services; and limb-salvaging vascular procedures  acute level 1 trauma services  intravascular stroke care  minimally invasive cardiac valve replacement  imaging technology  and telemedicine access for various medical specialties. In addition  the company offers ambulatory surgery and urgent care centers  imaging centers  and short-stay surgical hospitals  as well as Aspen's hospitals and clinics; healthcare business process services in the areas of hospital and physician revenue cycle management and value-based care solutions; and microhospitals  physician practices  and health plans. Further  it provides accounts receivable and health information management  and revenue integrity and patient financial services; patient communications and engagement services; and clinical integration  financial risk management  and population health management services. As of February 27  2017  the company operated 80 general acute care hospitals  20 short-stay surgical hospitals  and approximately 470 outpatient centers  as well as 239 ambulatory surgery  34 urgent care  and 21 imaging centers in the United States; and 9 private hospitals and clinics in the United Kingdom. Tenet Healthcare Corporation was founded in 1967 and is headquartered in Dallas  Texas.
LLY,Eli Lilly and Co,LILLY ELI & CO,2834,NYSE,Eli Lilly & Co   engages in the discovery  development  manufacture  and sale of pharmaceutical products   It operates through the Human Pharmaceutical Products and Animal Health segments   The Human Pharmaceutical products segment includes the discovery  development  manufacturing  marketing  and sales of human pharmaceutical products worldwide in the following therapeutic areas  neuroscience  endocrinology  oncology  cardiovascular  and other   The Animal health segment operating through the Elanco Animal Health division  develops  manufactures  and markets products for both food and companion animals   The Animal health products include Rumensin  Tylan  Posilac  Paylean and other products for livestock and poultry  as well as Trifexis  Comfortis  and other products for companion animals   The Other Pharmaceuticals products include anti-infectives  primarily Vancocin and Ceclor  and other miscellaneous pharmaceutical products and services   Its products are distributed through wholesalers that serve pharmacies  physicians and other health care professionals  and hospitals   The company was founded by Eli Lilly on May 1876 and is headquartered in Indianapolis  IN  ,Eli Lilly and Company discovers  develops  manufactures  and markets pharmaceutical products worldwide. It operates through two segments  Human Pharmaceutical Products and Animal Health Products. The company offers endocrinology products to treat diabetes; osteoporosis in postmenopausal women and men; human growth hormone deficiency and pediatric growth conditions; and testosterone deficiency. It also provides neuroscience products for the treatment of depressive disorders  diabetic peripheral neuropathic pain  anxiety disorders  fibromyalgia  and chronic musculoskeletal pain; schizophrenia; attention-deficit hyperactivity disorders; depressive  obsessive-compulsive  bulimia nervosa  and panic disorders; and positron emission tomography imaging of beta-amyloid neurotic plaques in adult brains. In addition  the company offers products to treat non-small cell lung  colorectal  head and neck  pancreatic  metastatic breast  ovarian  bladder  and metastatic gastric cancers  as well as malignant pleural mesothelioma; and cardiovascular products to treat erectile dysfunction and benign prostatic hyperplasia; and migraine headaches. Further  it provides animal health products  such as cattle feed additives; protein supplements for cows; leanness and performance enhancers for swine and cattle; antibiotics to treat respiratory and other diseases in cattle  swine  and poultry; anticoccidial agents for poultry; and chewable tablets that kill fleas and prevent flea infestations  and heartworm diseases  as well as controls intestinal parasite infections. Additionally  the company offers vaccinev to prevent Lyme disease  bronchial infections  rabies  and various infectious diseases in dogs  cats  and horses. It has collaboration agreements with Daiichi Sankyo Co.  Ltd.  Incyte Corporation  Pfizer Inc.  AstraZeneca  and William Sansum Diabetes Center. Eli Lilly and Company was founded in 1876 and is headquartered in Indianapolis  Indiana.
LUV,Southwest Airlines Co,SOUTHWEST AIRLINES CO,4512,NYSE,Southwest Airlines Co   provides scheduled air transportation services in the United States and near international markets   The company operates Southwest Airlines and AirTran Airways that provide scheduled air transportation services   AirTran Airways operates fleet of airline services using Boeing 717-200 aircraft and Boeing 737-700 aircraft throughout the United States and to select international locations   Southwest Airlines was founded by Rollin W   King and Herbert D   Kelleher on March 15  1967 and is headquartered in Dallas  TX  ,Southwest Airlines Co. operates a passenger airline that provides scheduled air transportation services in the United States and near-international markets. As of December 31  2016  the company operated a total of 723 Boeing 737 aircraft; and served 101 destinations in 40 states  the District of Columbia  and the Commonwealth of Puerto Rico  as well as 8 near-international countries  including Mexico  Jamaica  The Bahamas  Aruba  the Dominican Republic  Costa Rica  Belize  and Cuba. It also sells frequent flyer points and related services to business partners participating in the Rapid Rewards frequent flyer program  such as car rental agencies  hotels  restaurants  and retailers. In addition  the company operates Southwest.com  an Internet Website that enables customers to purchase and manage travel online; and Swabiz.com  a business travel reservation Web page. Southwest Airlines Co. was founded in 1967 and is headquartered in Dallas  Texas.
PAG,Penske Automotive Group Inc,PENSKE AUTOMOTIVE GROUP  INC.,5500,NYSE,Penske Automotive Group  Inc   is an international transportation services company  which engages in the distribution of commercial vehicles  diesel engines  gas engines  power systems  and related parts and services   It operates through the following segments  Retail Automotive  Retail Commercial Truck  Other  and Non-Automotive Investments   The Retail Automotive segment is consist of retail automotive dealership operations   The Retail Commercial Truck segment is the dealership operations of commercial trucks in the U  S   and Canada   The Other segment is comprised of commercial vehicle and power systems distribution operation and other non-automotive consolidated operations   The Non-Automotive Investments segment is the equity method investments in non-automotive operations   The company was founded in October 1992 and is headquartered in Bloomfield Hills  MI  ,Penske Automotive Group  Inc. operates as a transportation services company. The company operates through Retail Automotive  Retail Commercial Truck  Other  and Non-Automotive Investments segments. It operates automotive and commercial truck dealerships principally in the United States  Canada  and Western Europe; and distributes commercial vehicles  diesel engines  gas engines  power systems  and related parts and services primarily in Australia and New Zealand. The company engages in the sale of new and used motor vehicles; and related products and services  such as vehicle service and collision repair services  as well as placement of finance and lease contracts  third-party insurance products  and other aftermarket products. In addition  it is involved in the sale and placement of third-party finance and insurance products  third-party extended service and maintenance contracts  and replacement and aftermarket automotive products. Further  the company distributes commercial vehicles and parts to a network of more than 70 dealership locations  including 6 company-owned retail commercial vehicle dealerships. As of December 31  2016  it operated 355 automotive retail franchises  of which 164 franchises are located in the United States; and 191 franchises are located outside of the United States primarily in the United Kingdom. The company also operates 14 dealerships locations of heavy and medium duty trucks primarily under Freightliner and Western Star brand names  as well as offers a range of used trucks  and service and parts. Penske Automotive Group  Inc. is headquartered in Bloomfield Hills  Michigan.
MAN,ManpowerGroup Inc,ManpowerGroup Inc.,7363,NYSE,ManpowerGroup  Inc   engages in the provision of workforce solutions and services   It operates through the following segments  Americas  Southern Europe  Northern Europe  Asia Pacific Middle East (APME)  and Right Management   The Amercias segment includes the United States and Other Americas   The Southern Europe segment comprises of France  Italy  and Other Southern Europe   The Northern Europe segment provides a line of workforce solutions and services through Manpower  Experis and ManpowerGroup Solutions   The APME segment offers a variety of workforce solutions and services including permanent  temporary and contract recruitment; assessment and selection; and training and outsourcing   The Right Management segment provides talent and career management workforce solutions within ManpowerGroup   The company was founded by Elmer Winter and Aaron Scheinfeld in 1948 and is headquartered in Milwaukee  WI  ,ManpowerGroup Inc. provides workforce solutions and services in the Americas  Southern Europe  Northern Europe  and the Asia Pacific Middle East region. The company's recruitment service portfolio includes permanent  temporary  and contract recruitment of professionals  as well as administrative and industrial positions. It also offers various assessment services; career management; training and development services; and outsourcing services related to human resources functions primarily in the areas of large-scale recruiting and workforce-intensive initiatives. In addition  the company provides workforce consulting services; professional resourcing and project-based solutions in information technology  engineering  and finance fields; contingent staffing and permanent recruitment services; solutions in the areas of organizational efficiency  individual development  and career management; and talent based outsourcing services  TAPFIN managed services  and recruitment process outsourcing services  as well as Proservia services in the areas of digital services market and IT infrastructure sector. It operates through a network of approximately 2 800 offices in 80 countries and territories. The company was founded in 1948 and is headquartered in Milwaukee  Wisconsin.
KSS,Kohls Corp,KOHLS Corp,5311,NYSE,Kohl's Corp   owns and operates family-oriented department stores   It offers exclusive brand apparel  shoes  accessories and home & beauty products through its department stores   The company's stores offer apparel  footwear and accessories for women  men and children; soft home products  such as sheets and pillows and house wares targeted to middle-income customers   Its stores generally carry a consistent merchandise assortment with some differences attributable to regional preferences   Kohl's was founded in 1962 and is headquartered in Menomonee Falls  WI  ,Kohl's Corporation operates department stores in the United States. It offers private label  exclusive  and national brand apparel  footwear  accessories  beauty  and home products to children  men  and women customers. The company also sells its products online through Website Kohls.com. As of January 28  2017  it operated 1 154 department stores  12 FILA outlets  and 3 Off-Aisle clearance centers. Kohl's Corporation was founded in 1962 and is headquartered in Menomonee Falls  Wisconsin.
SBUX,Starbucks Corp,STARBUCKS CORP,5810,NasdaqGS,Starbucks Corp   engages in the manufacture and sale of coffee and tea   It operates through the following segments  Americas; Europe  Middle East  and Africa; China/Asia Pacific; Channel Development; and Other   Its brand portfolio includes Starbucks Coffee  Seattle's Best Coffee  Tazo Tea  Evolution Fresh  La Boulange  and Torrefazione Italia Coffee   The company was founded by Jerry Baldwin and Howard S   Schultz on November 4  1985 and is headquartered in Seattle  WA  ,Starbucks Corporation  together with its subsidiaries  operates as a roaster  marketer  and retailer of specialty coffee worldwide. The company operates in four segments: Americas; China/Asia Pacific; Europe  Middle East  and Africa; and Channel Development. Its stores offer coffee and tea beverages  packaged roasted whole bean and ground coffees  single-serve and ready-to-drink coffee and tea products  juices  and bottled water; an assortment of fresh food and snack offerings; and various food products  such as pastries  breakfast sandwiches  and lunch items  as well as beverage-making equipment and accessories. The company also licenses its trademarks through licensed stores  and grocery and national foodservice accounts. It offers its products under the Starbucks  Teavana  Tazo  Seattle's Best Coffee  Evolution Fresh  La Boulange  Ethos  Frappuccino  Starbucks Doubleshot  Starbucks Refreshers  and Starbucks VIA brand names. As of November 3  2016  the company operated 25 085 stores. Starbucks Corporation was founded in 1971 and is based in Seattle  Washington.
PCAR,PACCAR Inc,PACCAR INC,3711,NasdaqGS,PACCAR  Inc   is a global technology company engaged in the design  manufacture and customer support of premium light  medium and heavy-duty trucks   It operates through the following segments  Truck  Parts  Financial Services and Other Businesses   The Truck segment includes the design and manufacturing of heavy  medium and light duty diesel trucks which are marketed under the Kenworth  Peterbilt  and DAF nameplates   The Parts segment includes the distribution of aftermarket parts for trucks and related commercial vehicles in the U  S    Canada  Europe  Australia  Mexico and South America   The Financial Services segment is composed of finance and leasing products and services provided to truck customers and dealers   The Other Businesses segment includes a division of the company which manufactures industrial winches in two U  S   plants and markets them under the Braden  Carco and Gearmatic nameplates   The company also operates in Australia and sells trucks and parts to customers in Asia  Africa  Middle East and South America   PACCAR was founded by William Pigott Sr   in 1905 and is headquartered in Bellevue  WA  ,PACCAR Inc  together with its subsidiaries  designs  manufactures  and distributes light  medium  and heavy-duty commercial trucks worldwide. It operates in three segments: Truck  Parts  and Financial Services. The Truck segment offers trucks that are used for the over-the-road and off-highway hauling of commercial and consumer goods. The company sells its trucks through a network of independent dealers under the Kenworth  Peterbilt  and DAF nameplates. The Parts segment distributes aftermarket parts for trucks and related commercial vehicles. The Financial Services segment conducts full service leasing operations under the PacLease trade name. This segment also provides equipment financing and administrative support services for its franchisees; retail loan and leasing services for small  medium  and large commercial trucking companies  as well as independent owner/operators and other businesses; and truck inventory financing services to independent dealers. In addition  this segment offers loans and leases directly to customers for acquisition of trucks and related equipment. The company also manufactures and sells industrial winches under the Braden  Carco  and Gearmatic nameplates. PACCAR Inc was founded in 1905 and is headquartered in Bellevue  Washington.
CMI,Cummins Inc,CUMMINS INC,3510,NYSE,Cummins  Inc   engages in the design  manufacture  sale and service of diesel and natural gas engines and related technologies  including fuel systems  controls  air handing  filtration  emission  solutions and electrical power generation systems   It operates through the following segments  Engine  Distribution  Components  and Power Generation segments   The Engine segment manufactures and markets a range of diesel and natural gas powered engines under the Cummins brand name  for the heavy- and medium-duty truck  bus  recreational vehicle  light-duty automotive  agricultural  construction  mining  marine  oil and gas  rail and governmental equipment markets   The Distribution segment consists of parts  engines  power generation and service  which service and distributes range of its products and services   The Components segment supplies products which complement its Engine and Power Systems segment  including aftertreatment systems  turbochargers  filtration products and fuel systems for commercial diesel applications   The Power Generation segment designs and manufactures most of the components that make up power generation systems  including controls  alternators  transfer switches and switchgear   Cummins was founded by Clessie Lyle Cummins and William Glanton Irwin on February 3  1919 and is headquartered in Columbus  IN  ,Cummins Inc.  together with its subsidiaries  designs  manufactures  distributes  and services diesel and natural gas engines  and engine-related component products worldwide. It operates through Engine  Distribution  Components  and Power Systems segments. The Engine segment manufactures and markets a range of diesel and natural gas powered engines under the Cummins and other customer brand names for the heavy- and medium-duty truck  bus  recreational vehicle  light-duty automotive  construction  mining  marine  rail  oil and gas  defense  and agricultural markets. This segment also offers new parts and services  as well as remanufactured parts and engines. The Distribution segment distributes parts  engines  and power generation products; and provides service solutions  such as maintenance contracts  engineering services  and integrated products. The Components segment offers emission solutions  including custom engineering systems and integrated controls  oxidation catalysts  particulate filters  selective catalytic reduction systems  and engineered components; and turbochargers for light-duty  mid-range  heavy-duty  and high-horsepower diesel markets. This segment also provides air and fuel filters  fuel water separators  lube and hydraulic filters  coolants  fuel additives  and other filtration systems; and fuel systems for heavy-duty on-highway diesel engine applications  as well as remanufactures fuel systems. The Power Generation segment offers components that back-up and prime power generators  controls  paralleling systems  and transfer switches  as well as A/C generator/alternator products under the Stamford  AVK  and Markon brands. Cummins Inc. sells its products to original equipment manufacturers  dealers/distributors  and end users. The company was formerly known as Cummins Engine Company and changed its name to Cummins Inc. in 2001. Cummins Inc. was founded in 1919 and is headquartered in Columbus  Indiana.
